Transaction Date,Description,Amount,Currency
2018-01-28 00:00:00,INDIAN RAILWAY CATERINGNEW DELHI,1099.0,INR
2018-01-28 00:00:00,FLIPKART INTERNET PRIVA BANGALORE,34980.0,INR
2018-01-28 00:00:00,TIPSY CATERERS JAIPUR,660.0,INR
2018-01-29 00:00:00,MAKEMYTRIP INDIA PVT LT NEWDELHI,57181.0,INR
2018-01-29 00:00:00,INDIAN RAILWAY CATERING NEWDELHI,-3390.0,INR
2018-01-29 00:00:00,MAKEMYTRIP INDIA PVT LT NEWDELHI,-53326.0,INR
2018-01-30 00:00:00,INDIAN RAILWAY CATERING NEWDELHI,-680.0,INR
2018-02-22 00:00:00,FEETOES GURGAON,-1845.0,INR
2018-02-18 00:00:00,DECATHLON SPORTS INDIA GURGAON,949.0,INR
2018-02-09 00:00:00,SILVER GALERIE A UNIT    GURGAON,1250.0,INR
2018-02-23 00:00:00,DNA PHARMACY           GURUGRAM,-1650.0,INR
2018-02-26 00:00:00,MONTE CARLO            GURGAON,-413.0,INR
2018-02-27 00:00:00,THE ROOM               GURGAON,-456.0,INR
2018-02-27 00:00:00,LITTLE BURGUNDY        GURGAON,1938.0,INR
2018-01-13 00:00:00,SRILANKANUPGRADE KATUNAYAKE,9.0,EUR
2018-01-14 00:00:00,HEALTHGUARD LIMITED KATUNAYAKE,-6.0,USD
2018-01-17 00:00:00,FOOT RUB BERLIN,19.0,EUR
2018-01-28 00:00:00,California Games CALIFORNIA,108.0,USD
2018-01-30 00:00:00,NewYorkShop NEWYORK,219.0,USD
2018-02-03 00:00:00,O WINGS DUSSELDOR,8.0,EUR
